longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,median_house_value
-118.29,34.04,48,1353,488,1945,487,2.4359,<1H OCEAN,123700
-118.3,34.04,50,1757,522,2080,488,1.7225,<1H OCEAN,180000
-118.3,34.05,51,1005,314,1227,306,2.4297,<1H OCEAN,162500
-118.3,34.05,39,993,506,1765,464,1.2786,<1H OCEAN,121900
-118.31,34.05,38,1864,515,1768,439,1.9336,<1H OCEAN,190600
-118.31,34.05,35,2007,571,1513,554,2.1162,<1H OCEAN,229200
-118.31,34.05,26,1809,640,2543,640,2.3536,<1H OCEAN,500000
-118.31,34.04,33,2691,726,2390,681,2.4048,<1H OCEAN,208300
-118.31,34.04,29,2038,578,2070,570,2.0658,<1H OCEAN,214600
-118.31,34.03,29,2438,867,2114,753,0.8351,<1H OCEAN,150000
-118.32,34.03,31,2206,501,1194,435,1.9531,<1H OCEAN,227800
-118.31,34.04,52,1277,285,954,334,2.5833,<1H OCEAN,234600
-118.3,34.04,24,2092,585,1757,538,1.7109,<1H OCEAN,175000
-118.3,34.04,37,1470,399,1579,390,2.006,<1H OCEAN,150000
-118.31,34.04,37,2338,686,2376,630,1.767,<1H OCEAN,170300
-118.29,34.04,44,1941,579,2049,535,2.0405,<1H OCEAN,143000
-118.3,34.03,41,1653,426,1868,393,1.78,<1H OCEAN,162500
-118.3,34.04,35,1090,345,1605,330,2.1518,<1H OCEAN,152800
-118.29,34.04,31,700,299,1272,298,2.1542,<1H OCEAN,128100
-118.29,34.04,32,432,182,702,186,2.1471,<1H OCEAN,125000
-118.29,34.03,42,1680,557,2099,526,1.9167,<1H OCEAN,136400
-118.28,34.03,45,943,289,953,238,2.0673,<1H OCEAN,151600
-118.29,34.03,42,907,378,822,288,1.2875,<1H OCEAN,179200
-118.29,34.03,29,3544,1384,3323,1213,1.0219,<1H OCEAN,258300
-118.29,34.03,38,1501,437,1777,441,2.0848,<1H OCEAN,135200
-118.29,34.03,22,3313,1235,2381,1063,0.7473,<1H OCEAN,168800
-118.29,34.03,27,1084,287,1085,279,2.135,<1H OCEAN,119600
-118.31,34.03,46,2173,510,1343,476,2.025,<1H OCEAN,135500
-118.31,34.03,52,1902,406,1233,385,2.8295,<1H OCEAN,132200
-118.31,34.02,52,1173,284,814,295,2.45,<1H OCEAN,111400
-118.31,34.02,44,1555,324,931,265,1.4712,<1H OCEAN,105800
-118.31,34.02,45,1423,278,822,276,2.4519,<1H OCEAN,98100
-118.31,34.02,52,1832,441,1186,420,1.2434,<1H OCEAN,98400
-118.3,34.03,47,2241,559,1775,504,2.1571,<1H OCEAN,147900
-118.3,34.03,40,1695,374,1138,357,2.7125,<1H OCEAN,150000
-118.31,34.03,47,1315,,785,245,1.23,<1H OCEAN,138400
-118.3,34.03,37,2781,766,2586,729,1.8564,<1H OCEAN,187500
-118.31,34.03,34,2041,517,1479,495,2.1173,<1H OCEAN,156600
-118.31,34.02,23,1703,397,1333,361,1.3187,<1H OCEAN,127100
-118.31,34.02,46,1976,469,1409,431,2.2981,<1H OCEAN,112100
-118.3,34.02,49,2120,483,1522,416,1.85,<1H OCEAN,116800
-118.29,34.02,21,1641,491,1526,453,2.087,<1H OCEAN,141300
-118.3,34.02,34,3184,772,2474,705,1.631,<1H OCEAN,137500
-118.3,34.02,31,1933,478,1522,423,1.5781,<1H OCEAN,119300
-118.28,34.02,29,515,229,2690,217,0.4999,<1H OCEAN,500001
-118.27,34.03,50,395,232,948,243,1.7546,<1H OCEAN,175000
-118.27,34.03,51,1280,422,1560,381,1.7115,<1H OCEAN,125000
-118.28,34.04,19,460,241,890,229,1.6089,<1H OCEAN,162500
-118.28,34.04,24,1283,545,1932,516,1.2969,<1H OCEAN,160200
-118.28,34.04,25,1582,780,2390,719,1.4167,<1H OCEAN,200000
-118.28,34.04,20,1193,454,1880,453,2.1806,<1H OCEAN,180000
-118.28,34.05,44,1273,474,1754,460,1.6037,<1H OCEAN,275000
-118.28,34.03,41,1933,791,3121,719,1.8539,<1H OCEAN,147500
-118.28,34.03,40,2118,796,2195,658,1.7976,<1H OCEAN,164600
-118.28,34.04,48,1521,513,1772,458,2.2232,<1H OCEAN,162500
-118.27,34.02,39,2004,633,3050,621,1.875,<1H OCEAN,127300
-118.28,34.02,52,281,103,470,96,1.9375,<1H OCEAN,38800
-118.27,34.02,40,561,284,662,205,0.9234,<1H OCEAN,187500
-118.28,34.03,26,2107,809,2821,572,0.844,<1H OCEAN,350000
-118.28,34.03,25,1407,550,1193,472,1.2989,<1H OCEAN,225000
-118.25,34.02,50,180,89,356,76,2.1944,<1H OCEAN,158300
-118.24,34.03,52,142,47,137,45,1.8333,<1H OCEAN,312500
-118.26,34.03,49,299,90,287,68,1.2096,<1H OCEAN,100000
-118.25,34.03,52,1274,418,1655,368,2.1905,<1H OCEAN,124000
-118.25,34.02,32,1375,448,1698,432,1.6302,<1H OCEAN,130700
-118.26,34.02,38,980,285,1308,310,1.5652,<1H OCEAN,123100
-118.26,34.02,38,1091,349,1786,340,2.131,<1H OCEAN,136500
-118.26,34.02,40,1259,362,1499,327,1.8382,<1H OCEAN,126400
-118.26,34.02,37,1551,501,2173,474,2.1667,<1H OCEAN,117700
-118.26,34.02,48,1465,440,1859,400,1.3134,<1H OCEAN,96200
-118.26,34.02,46,1249,357,1607,331,2.0703,<1H OCEAN,114800
-118.26,34.02,41,848,323,1428,313,1.5603,<1H OCEAN,109600
-118.26,34.02,39,698,232,1046,228,2.2356,<1H OCEAN,119500
-118.25,34.02,35,1368,486,2239,461,1.913,<1H OCEAN,114300
-118.25,34.02,33,1676,525,2564,515,2.1957,<1H OCEAN,100800
-118.25,34.01,28,481,136,596,128,1.2396,<1H OCEAN,90300
-118.25,34.02,32,1311,410,1792,396,2.3304,<1H OCEAN,119900
-118.24,34.02,48,542,150,571,114,1.8485,<1H OCEAN,90600
-118.24,34.01,48,396,99,485,110,2.375,<1H OCEAN,107500
-118.24,34.01,43,1456,444,2098,433,1.8929,<1H OCEAN,99200
-118.25,34.01,31,1301,403,1952,377,2.1466,<1H OCEAN,100800
-118.24,34.01,30,405,86,376,68,1.7813,<1H OCEAN,127500
-118.25,34.01,45,782,270,1030,235,1.0898,<1H OCEAN,93400
-118.25,34.01,36,879,262,1034,236,1.2857,<1H OCEAN,99300
-118.25,34.01,43,1429,386,1412,354,1.3287,<1H OCEAN,107200
-118.25,34.01,43,1575,475,1980,469,1.7425,<1H OCEAN,100500
-118.25,34.01,30,962,291,1280,263,1.4464,<1H OCEAN,110200
-118.26,34.01,38,697,208,749,206,1.4653,<1H OCEAN,118800
-118.26,34.01,47,1269,323,1628,325,1.5089,<1H OCEAN,115800
-118.26,34.01,37,2451,668,2824,598,1.9074,<1H OCEAN,99600
-118.27,34.01,42,990,289,1167,281,1.4524,<1H OCEAN,126800
-118.26,34.01,46,879,253,1010,221,2.1776,<1H OCEAN,118300
-118.27,34.02,21,1314,375,1505,366,2.319,<1H OCEAN,97200
-118.27,34.01,35,1193,355,1784,341,1.8652,<1H OCEAN,116100
-118.27,34.01,35,1672,556,2106,519,1.2206,<1H OCEAN,129200
-118.27,34.01,47,921,264,881,221,1.4327,<1H OCEAN,114100
-118.27,34.01,43,1235,385,1745,372,2.0817,<1H OCEAN,113300
-118.27,34,46,1748,428,1707,409,2.148,<1H OCEAN,103800
-118.27,34,48,1869,461,1834,441,1.7052,<1H OCEAN,107400
-118.27,34,47,780,237,888,215,1.75,<1H OCEAN,95800
-118.26,34.01,43,2179,682,2624,609,1.8641,<1H OCEAN,108200
-118.26,34,41,1733,492,1776,453,1.6221,<1H OCEAN,104200
-118.25,34,36,1033,267,1112,229,1.7237,<1H OCEAN,105800
-118.25,34,36,1176,309,1267,292,1.6382,<1H OCEAN,105000
-118.25,34,32,1218,342,1292,304,1.5781,<1H OCEAN,102900
-118.25,34,41,1768,475,1721,474,1.303,<1H OCEAN,90400
-118.25,34,34,1905,552,2194,521,1.4792,<1H OCEAN,95800
-118.24,34,23,588,157,716,173,1.2056,<1H OCEAN,87500
-118.24,34,43,863,206,788,187,0.9463,<1H OCEAN,95000
-118.25,34,29,1419,363,1696,317,2.2813,<1H OCEAN,101300
-118.24,34,38,1715,414,1714,389,1.7132,<1H OCEAN,108200
-118.24,33.99,44,448,116,504,96,1.875,<1H OCEAN,98600
-118.24,33.99,41,1425,372,1803,353,1.6731,<1H OCEAN,88200
-118.25,33.99,42,2261,574,2496,527,1.5556,<1H OCEAN,98500
-118.25,33.99,39,1274,319,1362,324,2.1793,<1H OCEAN,107900
-118.26,34,27,1611,479,1457,458,0.8941,<1H OCEAN,91900
-118.26,34,37,2615,697,2484,630,1.9208,<1H OCEAN,103400
-118.27,34,40,2099,599,2311,529,1.852,<1H OCEAN,101500
-118.27,34,43,1638,434,1213,390,1.3403,<1H OCEAN,110800
-118.27,34,43,1258,381,1276,358,1.8917,<1H OCEAN,106900
-118.26,33.99,47,1865,465,1916,438,1.8242,<1H OCEAN,95000
-118.26,33.99,36,2016,505,1807,464,1.6901,<1H OCEAN,103500
-118.27,33.99,30,504,140,529,123,1.9531,<1H OCEAN,100000
-118.27,33.99,35,932,294,1153,282,1.4886,<1H OCEAN,100000
-118.27,33.99,38,1407,447,1783,402,1.8086,<1H OCEAN,97100
-118.28,34.01,46,441,167,621,144,1.8824,<1H OCEAN,162500
-118.28,34.02,46,1098,426,1510,374,2.1382,<1H OCEAN,156300
-118.29,34.01,40,885,312,799,221,1.1667,<1H OCEAN,143800
-118.3,34.01,48,4217,1095,3298,949,1.9152,<1H OCEAN,122300
-118.3,34.02,27,2190,626,1768,528,1.2446,<1H OCEAN,103800
-118.29,34.02,26,2001,582,2044,557,1.1563,<1H OCEAN,118800
-118.3,34.02,42,2386,670,2327,661,1.6699,<1H OCEAN,108000
-118.3,34.01,35,1147,290,818,281,1.7961,<1H OCEAN,111700
-118.31,34.01,50,1463,354,912,293,1.7386,<1H OCEAN,109400
-118.31,34.02,41,1046,216,727,201,1.6667,<1H OCEAN,116900
-118.31,34.02,43,2255,533,1568,470,1.6955,<1H OCEAN,115200
-118.31,34.01,39,2073,566,1246,547,2.0417,<1H OCEAN,117100
-118.31,34.02,46,2217,489,1227,448,1.6851,<1H OCEAN,108800
-118.31,34.01,48,2544,532,1357,498,2.5263,<1H OCEAN,121000
-118.31,34.01,52,2547,475,1417,444,1.8214,<1H OCEAN,123200
-118.31,34.01,52,1793,350,1303,366,3.0759,<1H OCEAN,123700
-118.29,34.01,42,814,223,511,188,2.3942,<1H OCEAN,123200
-118.29,34.01,50,2238,673,2247,583,1.6505,<1H OCEAN,125000
-118.3,34,52,1743,421,1206,384,1.6875,<1H OCEAN,116000
-118.3,34.01,52,1908,428,1271,394,2.5885,<1H OCEAN,136200
-118.3,34.01,52,1444,343,1154,334,2.0625,<1H OCEAN,134400
-118.28,34.01,34,2305,775,2450,740,1.7143,<1H OCEAN,132000
-118.28,34,46,1650,463,1992,458,2.3403,<1H OCEAN,114100
-118.29,34,6,1487,468,1509,403,1.4639,<1H OCEAN,112500
-118.29,34.01,39,751,207,1010,231,1.6036,<1H OCEAN,137500
-118.29,34.01,30,1385,518,1730,472,1.0539,<1H OCEAN,142500
-118.28,34.01,50,2601,794,3080,770,1.8656,<1H OCEAN,122900
-118.28,34,43,713,245,880,237,1.2065,<1H OCEAN,103600
-118.28,34.01,52,795,308,1118,275,1.2175,<1H OCEAN,131300
-118.28,34.01,48,483,190,775,188,2.3309,<1H OCEAN,126600
-118.28,34,38,3335,921,3612,887,2.125,<1H OCEAN,118800
-118.28,34,42,1534,417,1295,380,2.0938,<1H OCEAN,119200
-118.28,34,42,855,284,890,247,1.2778,<1H OCEAN,112500
-118.28,34,44,2636,725,2182,651,1.432,<1H OCEAN,124000
-118.28,34,48,1514,376,1353,344,2.1607,<1H OCEAN,96100
-118.29,34,44,1753,387,1165,380,2.1354,<1H OCEAN,105800
-118.29,34,41,1807,493,1731,471,1.2347,<1H OCEAN,111700
-118.29,34,52,1319,295,898,271,2.7727,<1H OCEAN,128600
-118.3,34,40,1131,281,859,230,1.1806,<1H OCEAN,134600
-118.3,34,52,1420,355,1080,353,1.5179,<1H OCEAN,116100
-118.29,34,52,2579,494,1558,458,2.0809,<1H OCEAN,109600
-118.3,34,52,1686,377,982,356,2.0958,<1H OCEAN,116400
-118.3,34,52,1296,246,853,238,3.05,<1H OCEAN,111600
-118.31,34,52,1542,309,939,276,1.6892,<1H OCEAN,129100
-118.3,34,52,1718,354,1026,312,2,<1H OCEAN,128000
-118.31,34,52,1630,379,1413,405,1.933,<1H OCEAN,120000
-118.31,34,52,2709,642,1751,613,2.1116,<1H OCEAN,122500
-118.31,34,47,1551,362,1329,322,1.9792,<1H OCEAN,116400
-118.31,33.99,48,2235,433,1363,433,1.6559,<1H OCEAN,101400
-118.31,33.99,47,1525,359,982,333,2.0915,<1H OCEAN,126600
-118.31,33.99,45,1489,339,791,316,2.2339,<1H OCEAN,104800
-118.31,33.99,44,1703,358,789,249,1.7083,<1H OCEAN,100000
-118.29,33.99,46,2608,636,1766,596,1.5846,<1H OCEAN,114800
-118.3,33.99,47,2637,588,1903,521,1.8317,<1H OCEAN,96500
-118.3,33.99,47,2212,533,1903,554,1.9853,<1H OCEAN,101100
-118.28,33.99,46,2577,703,2446,687,1.275,<1H OCEAN,98300
-118.29,33.99,46,2198,530,2067,497,2.0542,<1H OCEAN,103400
-118.28,33.99,52,1283,342,1363,329,2.5848,<1H OCEAN,101900
-118.28,33.99,49,2174,481,1861,484,1.7159,<1H OCEAN,95000
-118.28,33.99,46,1211,321,1153,282,1.7849,<1H OCEAN,99300
-118.32,34.01,52,3104,645,1498,581,2.6667,<1H OCEAN,128000
-118.32,34.02,50,1655,256,672,260,4.2554,<1H OCEAN,194300
-118.32,34.02,48,1949,308,823,340,3.3906,<1H OCEAN,189700
-118.32,34.01,50,1842,377,817,341,3.1548,<1H OCEAN,157700
-118.32,34.01,47,1745,371,1079,368,2.4022,<1H OCEAN,123400
-118.33,34.02,46,2223,361,968,373,4.26,<1H OCEAN,182600
-118.33,34.01,47,1320,259,653,291,3.7727,<1H OCEAN,193000
-118.33,34.02,42,2043,378,869,416,3.5,<1H OCEAN,181100
-118.32,34.01,44,4032,913,1622,848,2.4934,<1H OCEAN,165800
-118.33,34.01,43,2227,564,956,472,2.0217,<1H OCEAN,187500
-118.33,34.01,44,1762,463,786,445,1.9231,<1H OCEAN,188500
-118.33,34.01,44,2182,492,878,493,1.9631,<1H OCEAN,181300
-118.32,34,50,3250,693,2300,675,1.95,<1H OCEAN,112600
-118.32,34,50,2189,460,1097,469,2.4583,<1H OCEAN,120900
-118.33,34,47,1671,388,895,317,2.2054,<1H OCEAN,121500
-118.33,34,47,825,187,416,173,2.3333,<1H OCEAN,133300
-118.33,34,24,873,320,529,308,0.9304,<1H OCEAN,151600
-118.32,33.99,43,2028,479,1074,394,2.5909,<1H OCEAN,98700
-118.32,33.99,49,1407,269,889,283,1.9779,<1H OCEAN,114200
-118.33,33.99,44,1918,387,1041,364,2.8542,<1H OCEAN,126500
-118.33,33.99,46,1582,315,777,286,3.2083,<1H OCEAN,149600
-118.34,33.99,48,2009,335,919,297,4.8125,<1H OCEAN,170500
-118.32,33.99,48,1260,284,791,280,2.1875,<1H OCEAN,115200
-118.32,33.99,43,1257,232,735,232,3.7167,<1H OCEAN,108900
-118.33,33.99,43,2224,550,1598,545,2.8274,<1H OCEAN,122500
-118.34,33.99,46,1217,322,662,305,3.1731,<1H OCEAN,140300
-118.32,33.98,47,949,210,574,217,2.175,<1H OCEAN,114700
-118.32,33.98,40,1298,277,791,255,3.2344,<1H OCEAN,104300
-118.32,33.98,47,1528,331,864,308,1.9732,<1H OCEAN,101000
-118.32,33.98,46,1611,339,921,314,3.0833,<1H OCEAN,103300
-118.33,33.98,28,3889,1199,3121,1046,1.8806,<1H OCEAN,113900
-118.33,33.98,32,1784,489,1472,476,1.6477,<1H OCEAN,108900
-118.33,33.98,38,3063,796,2153,721,1.8472,<1H OCEAN,149100
-118.34,33.99,48,2225,433,1170,401,2.9643,<1H OCEAN,140400
-118.34,33.98,46,2126,409,1292,414,2.9315,<1H OCEAN,149000
-118.35,33.99,47,2183,380,927,371,4.9531,<1H OCEAN,180100
-118.35,33.98,47,2512,461,1082,426,3.8235,<1H OCEAN,207600
-118.34,33.99,34,397,132,250,121,1.675,<1H OCEAN,166700
-118.32,33.98,44,1448,314,861,310,2.2396,<1H OCEAN,108600
-118.32,33.97,52,1778,320,795,279,3.5114,<1H OCEAN,138800
-118.32,33.98,49,1412,333,901,328,1.7067,<1H OCEAN,118600
-118.33,33.98,30,3112,931,2739,841,1.6531,<1H OCEAN,118500
-118.33,33.97,44,2526,579,1423,573,2.5363,<1H OCEAN,158800
-118.33,33.97,47,1830,369,922,377,4.1635,<1H OCEAN,156400
-118.36,34.02,46,3745,798,1502,808,3.8643,<1H OCEAN,195800
-118.36,34.01,33,3140,466,1214,464,6.5044,<1H OCEAN,350400
-118.37,34.02,33,2263,430,900,382,4.4028,<1H OCEAN,246800
-118.38,34.02,31,1893,450,819,426,4.3077,<1H OCEAN,140600
-118.33,34.02,11,1249,313,625,336,0.8702,<1H OCEAN,170500
-118.34,34.01,35,1359,359,655,341,2.5568,<1H OCEAN,312500
-118.34,34.01,37,4291,1102,1941,953,1.7945,<1H OCEAN,106300
-118.34,34.01,38,2318,735,1407,702,1.6187,<1H OCEAN,266700
-118.34,34.02,44,1527,246,608,245,4.0357,<1H OCEAN,187800
-118.35,34.02,34,3978,1073,2725,1035,1.7622,<1H OCEAN,167900
-118.35,34.02,34,5218,1576,3538,1371,1.5143,<1H OCEAN,118800
-118.35,34.02,27,3358,1069,2415,956,1.4589,<1H OCEAN,87500
-118.35,34.01,33,3246,601,1585,603,3.6629,<1H OCEAN,353200
-118.35,34.01,35,3776,,1583,749,3.5486,<1H OCEAN,332100
-118.35,34,28,3085,621,1162,558,3.25,<1H OCEAN,301000
-118.28,33.99,35,1138,304,1128,311,1.8818,<1H OCEAN,100000
-118.28,33.99,37,1971,513,1673,464,1.4625,<1H OCEAN,103000
-118.29,33.99,39,979,235,857,236,2.5547,<1H OCEAN,108900
-118.29,33.98,41,1582,416,1422,370,1.0516,<1H OCEAN,108300
-118.29,33.99,43,1902,398,1153,363,1.9375,<1H OCEAN,112900
-118.3,33.99,44,1458,326,1159,283,1.1645,<1H OCEAN,98200
-118.3,33.99,43,1534,384,1231,329,2.5437,<1H OCEAN,94500
-118.3,33.98,44,1597,388,902,321,1.9556,<1H OCEAN,93300
-118.3,33.99,45,1701,452,1484,427,1.84,<1H OCEAN,91400
-118.31,33.98,44,222,54,234,77,5.1136,<1H OCEAN,111700
-118.31,33.99,49,857,196,694,228,2.895,<1H OCEAN,108000
-118.31,33.98,52,1837,426,1062,343,2,<1H OCEAN,96500
-118.31,33.98,52,1607,331,900,295,3.5982,<1H OCEAN,96600
-118.31,33.98,50,1985,454,1090,410,1.825,<1H OCEAN,106600
-118.31,33.98,52,1975,379,1043,371,2.3977,<1H OCEAN,112200
-118.32,33.98,49,1993,446,1052,394,2.2138,<1H OCEAN,119800
-118.29,33.98,44,2261,555,1348,455,1.9125,<1H OCEAN,97200
-118.29,33.98,48,1124,231,783,223,3.4444,<1H OCEAN,93100
-118.3,33.98,52,1371,315,986,277,2.9432,<1H OCEAN,94000
-118.3,33.98,48,2010,445,1208,404,1.6611,<1H OCEAN,95800
-118.3,33.98,48,1998,410,1176,382,3.0455,<1H OCEAN,102400
-118.3,33.98,44,1242,270,811,274,2.9375,<1H OCEAN,95200
-118.29,33.98,42,2833,768,2542,725,1.3479,<1H OCEAN,100000
-118.29,33.98,46,1118,300,786,254,1.4042,<1H OCEAN,110000
-118.28,33.98,39,1306,345,1332,331,1.9564,<1H OCEAN,92200
-118.28,33.98,47,865,193,782,217,2.2411,<1H OCEAN,93000
-118.28,33.98,45,1720,416,1382,365,0.9337,<1H OCEAN,92300
-118.28,33.98,19,883,313,726,277,0.9809,<1H OCEAN,121400
-118.29,33.98,30,1162,318,1207,289,1.223,<1H OCEAN,100000
-118.28,33.97,31,1068,271,1091,281,1.689,<1H OCEAN,102600
-118.28,33.97,31,2017,566,2063,521,1.9219,<1H OCEAN,107000
-118.28,33.97,35,2305,634,1978,568,1.375,<1H OCEAN,100000
-118.29,33.97,43,2660,672,2133,588,1.7734,<1H OCEAN,107300
-118.3,33.97,46,1425,317,1140,304,3.375,<1H OCEAN,98500
-118.3,33.97,44,1521,289,1074,285,2.0673,<1H OCEAN,99800
-118.3,33.97,42,944,200,567,190,2.6311,<1H OCEAN,124100
-118.3,33.97,50,2270,451,1000,412,2.1221,<1H OCEAN,119400
-118.31,33.97,52,1595,325,823,302,3.2188,<1H OCEAN,124200
-118.31,33.97,47,2066,422,1156,380,2.7917,<1H OCEAN,125800
-118.31,33.97,52,1629,277,819,288,3.725,<1H OCEAN,142600
-118.31,33.97,48,1541,314,819,312,3.0917,<1H OCEAN,136100
-118.31,33.94,41,1353,286,751,250,2.7401,<1H OCEAN,131700
-118.3,33.95,50,1843,326,892,314,3.1346,<1H OCEAN,120000
-118.31,33.95,43,1823,358,1065,342,3.2708,<1H OCEAN,131000
-118.31,33.95,44,1558,333,1095,316,4.0043,<1H OCEAN,133500
-118.31,33.95,44,2490,430,1305,411,4.8295,<1H OCEAN,149600
-118.31,33.94,43,2104,393,1132,394,3.0682,<1H OCEAN,142000
-118.31,33.96,43,2118,569,1266,500,1.747,<1H OCEAN,121000
-118.31,33.96,43,2149,493,1316,462,1.528,<1H OCEAN,131800
-118.31,33.96,46,1686,303,870,320,3.4643,<1H OCEAN,136300
-118.31,33.96,48,2015,356,1020,338,4.0625,<1H OCEAN,138700
-118.29,33.97,48,3139,587,1319,506,3.5208,<1H OCEAN,134200
-118.29,33.96,36,1717,417,902,368,1.4868,<1H OCEAN,113200
-118.3,33.96,43,2009,442,1095,439,2.8299,<1H OCEAN,109500
-118.3,33.96,39,2802,618,1524,529,2.6518,<1H OCEAN,136300
-118.28,33.96,41,1175,340,1241,352,1.2273,<1H OCEAN,98400
-118.28,33.96,34,2074,562,1913,514,1.6156,<1H OCEAN,102100
-118.28,33.97,34,2771,802,2782,715,1.6652,<1H OCEAN,99000
-118.29,33.96,31,4022,1208,3707,1007,1.3096,<1H OCEAN,116300
-118.3,33.96,47,2112,417,1161,368,3.9722,<1H OCEAN,117400
-118.31,33.96,52,2523,460,1167,413,3.0625,<1H OCEAN,127400
-118.31,33.96,47,1586,322,1077,339,4.4861,<1H OCEAN,140400
-118.31,33.96,47,2005,392,1134,415,3.7143,<1H OCEAN,140300
-118.26,33.99,30,1702,443,1966,442,1.5521,<1H OCEAN,97500
-118.27,33.98,30,1966,584,2028,535,1.625,<1H OCEAN,101500
-118.28,33.99,38,1454,323,1098,297,1.5109,<1H OCEAN,104000
-118.27,33.99,41,656,162,730,170,1.8047,<1H OCEAN,101800
-118.28,33.98,43,1240,312,1100,311,1.575,<1H OCEAN,97500
-118.27,33.98,45,1696,424,1502,429,1.3042,<1H OCEAN,99200
-118.27,33.98,39,2062,588,1933,570,1.3801,<1H OCEAN,97000
-118.27,33.98,44,1722,457,2177,401,2.125,<1H OCEAN,92500
-118.26,33.98,43,762,206,854,188,1.2315,<1H OCEAN,98200
-118.26,33.97,46,1295,351,1120,323,1.7121,<1H OCEAN,98200
-118.26,33.97,44,1246,308,1031,295,1.9556,<1H OCEAN,96300
-118.26,33.97,46,1521,352,1100,334,1.55,<1H OCEAN,100600
-118.26,33.97,46,1086,249,880,250,1.5962,<1H OCEAN,95700
-118.27,33.97,45,1546,371,1186,366,1.64,<1H OCEAN,96800
-118.28,33.97,40,2180,642,2464,631,1.5521,<1H OCEAN,90100
-118.27,33.97,39,2569,688,2601,630,2.0754,<1H OCEAN,101400
-118.28,33.97,38,1819,497,2110,499,1.6027,<1H OCEAN,97300
-118.27,33.96,38,977,295,1073,292,1.0208,<1H OCEAN,86400
-118.27,33.96,42,796,203,697,177,2.037,<1H OCEAN,92600
-118.28,33.96,37,1812,500,1640,447,1.9348,<1H OCEAN,99100
-118.26,33.97,47,1504,374,1168,358,1.4625,<1H OCEAN,94200
-118.26,33.96,40,1475,347,1222,298,1.5303,<1H OCEAN,95300
-118.26,33.96,39,1255,323,902,327,1.5812,<1H OCEAN,94000
-118.26,33.97,52,1331,346,1144,362,1.5326,<1H OCEAN,90600
-118.27,33.97,34,1462,394,1310,351,1.1557,<1H OCEAN,90100
-118.27,33.96,38,1126,270,999,265,0.5495,<1H OCEAN,91700
-118.27,33.96,34,1040,276,1083,255,1.6467,<1H OCEAN,90900
-118.27,33.95,39,1529,358,1154,357,1.2091,<1H OCEAN,97900
-118.26,33.95,38,1387,346,1240,355,1.6898,<1H OCEAN,95100
-118.26,33.95,44,1513,369,1088,344,1.2969,<1H OCEAN,94400
-118.26,33.96,39,1542,375,1256,361,1.7167,<1H OCEAN,100000
-118.26,33.96,37,1625,383,1243,350,1.3971,<1H OCEAN,89800
-118.28,33.96,42,1604,399,1581,387,1.7656,<1H OCEAN,96700
-118.28,33.95,40,2044,538,2150,524,2.1437,<1H OCEAN,94800
-118.28,33.96,42,1206,304,1167,250,1.615,<1H OCEAN,101300
-118.28,33.96,39,882,221,697,189,1.8472,<1H OCEAN,99100
-118.28,33.96,23,1983,611,2048,600,1.5313,<1H OCEAN,91400
-118.29,33.95,35,1401,362,1357,327,2.0917,<1H OCEAN,99300
-118.29,33.95,32,721,205,842,208,1.6029,<1H OCEAN,89700
-118.29,33.96,39,1340,409,1463,367,1.5294,<1H OCEAN,111400
-118.29,33.95,40,2808,695,2357,627,1.9655,<1H OCEAN,102300
-118.29,33.95,39,1701,428,1468,411,1.9702,<1H OCEAN,93200
-118.28,33.94,43,1201,292,840,252,2.7917,<1H OCEAN,105600
-118.29,33.94,34,1089,278,995,315,2.3352,<1H OCEAN,107700
-118.27,33.95,35,2073,494,1753,490,1.5,<1H OCEAN,93600
-118.27,33.95,43,1156,291,1074,299,1.8814,<1H OCEAN,94900
-118.27,33.94,30,1041,275,877,270,1.5268,<1H OCEAN,91600
-118.28,33.94,38,637,204,679,162,1.5714,<1H OCEAN,89700
-118.28,33.95,41,835,208,707,192,1.4103,<1H OCEAN,86200
-118.27,33.95,40,935,226,818,236,1.8798,<1H OCEAN,101300
-118.27,33.95,34,987,248,902,221,2.3365,<1H OCEAN,98000
-118.27,33.95,34,1261,315,1027,303,2.2946,<1H OCEAN,88800
-118.27,33.95,29,1579,351,1056,322,2.3056,<1H OCEAN,98500
-118.25,33.95,35,1405,326,1086,273,1.0375,<1H OCEAN,89800
-118.26,33.94,45,1080,218,850,237,2.25,<1H OCEAN,93400
-118.26,33.95,44,1771,378,1296,399,1.6389,<1H OCEAN,96700
-118.26,33.95,44,1481,329,999,315,1.5147,<1H OCEAN,94600
-118.26,33.94,44,1103,265,760,247,1.6887,<1H OCEAN,99600
-118.25,33.94,37,1002,270,1092,273,1.6333,<1H OCEAN,94500
-118.26,33.94,41,1510,410,1408,389,1.65,<1H OCEAN,94200
-118.27,33.94,38,1314,318,1080,285,1.5872,<1H OCEAN,89800
-118.26,33.94,44,795,181,716,167,2,<1H OCEAN,90300
-118.26,33.93,35,1562,403,1587,406,1.4917,<1H OCEAN,93200
-118.27,33.93,41,570,135,466,121,2.6458,<1H OCEAN,91300
-118.27,33.94,34,721,165,661,171,2.0789,<1H OCEAN,92400
-118.27,33.94,37,973,221,842,178,1.6645,<1H OCEAN,94900
-118.27,33.93,36,1467,369,1247,347,1.8191,<1H OCEAN,92700
-118.26,33.93,36,1102,247,702,225,1.5256,<1H OCEAN,95400
